CNJ,NATURE,SUBJECT,IsCriminal,JusticeSegmentVerifier,NatureVerifier,NatureVerifier2,SubjectVerifier,IsCriminalVerifier
0793444-53.2016.8.13.0000,RECURSO EM HABEAS CORPUS,"DIREITO PENAL, Crimes Previstos na Legislação Extravagante, Crimes de Tráfico Ilícito e Uso Indevido de Drogas, Tráfico de Drogas e Condutas Afins",TRUE,ok,ok,ok,ok,true
0000280-92.2020.8.26.0996,Agravo de Execução Penal,Regime Inicial - Fechado,TRUE,ok,ok,ok,ok,true
0002598-55.2016.4.01.3312,APCRIM - Apelação Criminal,DIREITO PENAL (287) - Crimes contra a F Pública (3523) - Uso de documento falso (3539,TRUE,ok,ok,ok,ok,true
5022553-26.2018.4.04.7000,CARTA PRECATÓRIA,"Corrupção ativa (art. 333), Crimes praticados por particular contra a Administração em geral, DIREITO PENAL",TRUE,ok,ok,no,ok,true
1003489-55.2017.8.11.0000,HABEAS CORPUS CRIMINAL (307),"Receptação (3435)
Liberdade Provisória (7928)
Habeas Corpus - Cabimento (10891)",TRUE,ok,ok,ok,ok,true
0003593-59.2018.8.26.0502,Execução Provisória,Regime Inicial - Fechado,TRUE,ok,ok,no,ok,true
0057616-87.2015.8.16.0000,Habeas Corpus Crime,,TRUE,ok,ok,ok,vazio,true
1002173-81.2020.4.01.3502,AÇÃO PENAL - PROCEDIMENTO ORDINÁRIO,DIREITO PENAL (287) - Crimes Previstos na Legislação Extravagante (3603) - Crimes contra o Meio Ambiente e o Patrimônio Genético (3618) - Crimes contra a Flora (3620,TRUE,ok,ok,ok,ok,true
0044034-04.2018.8.19.0203,Medidas Protetivas de urgência (Lei Maria da Penha),,FALSE,ok,ok,ok,vazio,true
5008814-48.2016.4.04.7002,CARTA PRECATÓRIA - CEMAN,"Descaminho (art. 334), Crimes praticados por particular contra a Administração em geral, DIREITO PENAL",TRUE,ok,ok,no,ok,true
0011924-79.2011.8.21.0028,procedimento especial de jurisdição contenciosa,ação monitória    -,FALSE,ok,ok,ok,no,true
5008190-17.2021.4.04.7004,CARTA PRECATÓRIA - CEMAN,"1. Descaminho (art. 334), Crimes praticados por particular contra a Administração em geral, DIREITO PENAL",TRUE,ok,ok,no,ok,true
5000258-74.2022.8.13.0693,[CRIMINAL] CARTA PRECATÓRIA CRIMINAL,Intimação (11782) Audiência no Deprecante (50001),TRUE,ok,ok,ok,no,true
0074232-67.2007.8.13.0335,Procedimento Especial da Lei Antitóxicos,Crimes de Tráfico Ilícito e Uso Indevido de Drogas < Crimes Previstos na Legislação Extravagante < DIREITO PENAL,TRUE,ok,ok,ok,ok,true
0001437-48.2018.4.03.6104,INQUÉRITO POLICIAL,Tráfico de Drogas e Condutas Afins,TRUE,ok,ok,ok,ok,true
